Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#21287,"PADANG BENDAR, HULU PALIK, BENGKULU UTARA, BENGKULU",4,83,59,142
https://kawalpemilu.org#21322,"DATAR RUYUNG, ARGA MAKMUR, BENGKULU UTARA, BENGKULU",1,98,139,237
https://kawalpemilu.org#22282,"BAJAK, TELUK SEGARA, KOTA BENGKULU, BENGKULU",5,48,90,138
https://kawalpemilu.org#21192,"DUKU ULU, CURUP TIMUR, REJANG LEBONG, BENGKULU",3,78,118,196
https://kawalpemilu.org#22054,"BIOA SENGOK, RIMBO PENGADANG, LEBONG, BENGKULU",4,134,63,197
https://kawalpemilu.org#22259,"SUMUR DEWA, SELEBAR, KOTA BENGKULU, BENGKULU",23,66,160,226
https://kawalpemilu.org#87341,"TANJUNG MUARA, PINANG RAYA, BENGKULU UTARA, BENGKULU",2,75,51,126
https://kawalpemilu.org#21294,"TALANG RENDAH, HULU PALIK, BENGKULU UTARA, BENGKULU",2,168,81,249
https://kawalpemilu.org#21048,"AIR SULAU, KEDURANG ILIR, BENGKULU SELATAN, BENGKULU",8,101,48,149
https://kawalpemilu.org#22190,"PASAR UJUNG, KEPAHIANG, KEPAHIANG, BENGKULU",7,42,86,128
https://kawalpemilu.org#22264,"JALAN GEDANG, GADING CEMPAKA, KOTA BENGKULU, BENGKULU",7,80,144,224
https://kawalpemilu.org#21819,"LUNJUK, SELUMA BARAT, SELUMA, BENGKULU",2,106,142,248
https://kawalpemilu.org#21118,"KASIE KASUBUN, PADANG ULAK TANDING, REJANG LEBONG, BENGKULU",1,54,184,238
https://kawalpemilu.org#21629,"SUKARAMI, KELAM TENGAH, KAUR, BENGKULU",1,62,71,133
https://kawalpemilu.org#22137,"KEBAN AGUNG, BERMANI ILIR, KEPAHIANG, BENGKULU",2,48,72,120
https://kawalpemilu.org#21142,"TALANG BENIH, CURUP, REJANG LEBONG, BENGKULU",17,87,121,208
https://kawalpemilu.org#42110,"PAMPANG, PALIYAN, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",3,98,45,143
https://kawalpemilu.org#42303,"PONDOKREJO, TEMPEL, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",2,156,89,245
https://kawalpemilu.org#42018,"MANGUNAN, DLINGO, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",1,161,12,173
https://kawalpemilu.org#42046,"BANGUNHARJO, SEWON, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",70,177,34,211
https://kawalpemilu.org#42274,"BOKOHARJO, PRAMBANAN, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",30,139,81,220
https://kawalpemilu.org#42140,"NGIPAK, KARANGMOJO, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",6,150,75,225
https://kawalpemilu.org#41903,"BANARAN, GALUR, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",12,90,145,235
https://kawalpemilu.org#41922,"SUKORENO, SENTOLO, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",19,207,47,254
https://kawalpemilu.org#42284,"WEDOMARTANI, NGEMPLAK, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",82,97,48,145
https://kawalpemilu.org#42164,"MELIKAN, RONGKOP, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",5,176,49,225
https://kawalpemilu.org#41972,"SRIGADING, SANDEN, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",36,156,34,190
https://kawalpemilu.org#42370,"KEPARAKAN, MERGANGSAN, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",1,149,53,202
https://kawalpemilu.org#42312,"WONOKERTO, TURI, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",20,131,58,189
https://kawalpemilu.org#42231,"SIDOMULYO, GODEAN, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",1,145,73,218
